Datetime,Date,Time,Type,No.,1:F,1:Fm',1:PAR,1:Y (II),1:Depth,Light CRRX,Depth CRRX,Site,Dive
33:58.0,7/15/21,10:33:58,F,251,14,16,2657,-,3.2,942.0676205,0.5,Intermediate,2
33:53.0,7/15/21,10:33:53,F,250,17,17,2340,-,2.3,829.6718976,1.4,Intermediate,2
33:47.0,7/15/21,10:33:47,F,249,14,16,1989,-,1.5,705.221113,2.2,Intermediate,2
33:40.0,7/15/21,10:33:40,F,248,15,16,1636,-,0.6,580.061207,3.1,Intermediate,2
33:33.0,7/15/21,10:33:33,F,247,14,15,1256,-,-0.4,445.3281638,4.1,Intermediate,2
28:42.0,7/15/21,10:28:42,F,244,10,11,1085,-,-1.2,384.6982944,4.9,Intermediate,2
33:28.0,7/15/21,10:33:28,F,246,10,11,1108,-,-1.2,392.8531891,4.9,Intermediate,2
28:32.0,7/15/21,10:28:32,F,243,8,12,974,-,-1.8,345.3420634,5.5,Intermediate,2
28:25.0,7/15/21,10:28:25,F,242,6,8,885,-,-2.1,313.7861664,5.8,Intermediate,2
33:19.0,7/15/21,10:33:19,F,245,8,10,1046,-,-2.2,370.8704294,5.9,Intermediate,2
28:15.0,7/15/21,10:28:15,F,241,6,8,680,-,-2.4,241.1012352,6.1,Intermediate,2
28:08.0,7/15/21,10:28:08,F,240,4,5,492,-,-3.5,174.4438349,7.2,Intermediate,2
28:01.0,7/15/21,10:28:01,F,239,4,4,432,-,-4.1,153.1701965,7.8,Intermediate,2
27:49.0,7/15/21,10:27:49,F,238,4,5,474,-,-4.9,168.0617434,8.6,Intermediate,2
27:41.0,7/15/21,10:27:41,F,237,3,4,474,-,-5.5,168.0617434,9.2,Intermediate,2
27:20.0,7/15/21,10:27:20,F,235,5,4,496,-,-5.7,175.8620774,9.4,Intermediate,2
27:30.0,7/15/21,10:27:30,F,236,4,5,493,-,-5.8,174.7983955,9.5,Intermediate,2
27:11.0,7/15/21,10:27:11,F,234,4,4,434,-,-6.1,153.8793178,9.8,Intermediate,2
27:02.0,7/15/21,10:27:02,F,233,4,3,348,-,-7.3,123.3871027,11,Intermediate,2
26:56.0,7/15/21,10:26:56,F,232,2,4,293,-,-7.8,103.8862675,11.5,Intermediate,2
26:50.0,7/15/21,10:26:50,F,231,3,4,251,-,-8.6,88.99472064,12.3,Intermediate,2
26:12.0,7/15/21,10:26:12,F,230,3,3,258,-,-9.3,91.47664512,13,Intermediate,2
26:05.0,7/15/21,10:26:05,F,229,1,3,249,-,-9.8,88.28559936,13.5,Intermediate,2
25:58.0,7/15/21,10:25:58,F,228,447,1347,255,0.668,-10.2,90.4129632,13.9,Intermediate,2
15:52.0,7/15/21,10:15:52,F,175,2,4,221,-,-10.3,78.35790144,14,Deep,2
15:39.0,7/15/21,10:15:39,F,174,4,4,190,-,-10.6,67.3665216,14.3,Deep,2
15:32.0,7/15/21,10:15:32,F,173,2,4,172,-,-11.3,60.98443008,15,Deep,2
14:52.0,7/15/21,10:14:52,F,172,3,4,164,-,-11.4,58.14794496,15.1,Deep,2
14:46.0,7/15/21,10:14:46,F,171,3,3,146,-,-12,51.76585344,15.7,Deep,2
