"","bag_number","depth","act_depth","species","colony_number","site","sample_id","airbrush_volume","surface_area","Host_AFDW_mg.cm2","Sym_AFDW_mg.cm2","sym.cm2","chla.ug.cm2","chlc2.ug.cm2","prot_mg.cm2","D","cor_di","cal_di","cor_a","cal_a"
"1","141",15,23,"AAGA",1,"Media Luna","15AA1ML","24.5","14.61002786",1.92846997076158,1.00615824561473,167693.040935789,3.386742629,0.915771697,0.767485661,12.563,0.3087,0.1681,0.089,0.0228
"2","143",15,21,"AAGA",2,"Media Luna","15AA2ML","20","5.440111421",3.95212493571462,4.04403481794054,1317374.97844899,4.505238607,0.54612852,1.29004065,15.563,0.2539,0.1566,0.0576,0.02
"3","147",15,22,"AAGA",3,"Media Luna","15AA3ML","17","6.501392758",NA,1.56889460146041,1893568.62323868,9.662625739,2.204100803,1.090977864,14.33,0.3094,0.1645,0.0878,0.0212
"4","151",15,20,"AAGA",4,"Media Luna","15AA4ML","16.5","9.178272981",3.99993550812868,4.13476479491954,1007724.07690932,NA,NA,1.326884338,14.644,0.3232,0.194,0.0884,0.0276
"5","152",15,20,"AAGA",5,"Media Luna","15AA5ML","21","6.662952646",4.33366429781467,6.93386287650348,1187161.3713852,NA,NA,NA,12.541,0.3937,0.1775,0.1284,0.0252
"6","320",30,31,"AAGA",1,"Media Luna","30AA1ML","26","20.29526462",3.29879906734618,5.3805654690695,585029.737552641,6.961405496,1.635435685,1.08856449,2.984,0.3578,0.161,0.1146,0.022
"7","211",30,34,"AAGA",2,"Media Luna","30AA2ML","33","17.76044568",5.10966907222342,3.34451066545533,742450.399977801,3.741795178,0.726687845,1.024730639,10.967,0.4351,0.1824,0.1494,0.0258
"8","216",30,30,"AAGA",3,"Media Luna","30AA3ML","27","16.06406685",3.10942431119178,2.18500086732396,917887.116468268,4.554214115,0.926146233,0.913357669,10.608,0.4104,0.1713,0.1234,0.0226
"9","323",30,33,"AAGA",4,"Media Luna","30AA4ML","19.5","7.935933148",6.08151544373368,2.45717795706411,500650.008751813,10.05520221,2.091857024,1.050379768,10.434,0.377,0.159,0.1248,0.0202
"10","325",30,30,"AAGA",5,"Media Luna","30AA5ML","27","9.298050139",5.73507339741395,8.1307369684856,1404730.00303747,7.925097079,1.516963212,1.779997126,9.795,0.4007,0.1869,0.1208,0.0248
"11","337",45,45,"AAGA",1,"Media Luna","45AA1ML","23","8.623955432",4.13383397921067,6.6674741600172,1177920.43502527,6.659273167,0.932646286,0.954538812,11.527,0.355,0.1898,0.1034,0.027
"12","342",45,45,"AAGA",2,"Media Luna","45AA2ML","23.5","10.35376045",4.87986951639392,5.90123755470893,1225641.64597801,6.896976821,1.420269,1.282354561,9.853,0.3962,0.1786,0.1266,0.024
"13","348",45,46,"AAGA",3,"Media Luna","45AA3ML","32","26.2367688",3.29308843854278,4.8786495385819,1233891.77953956,5.685415551,1.419016201,1.060706524,11.004,0.3982,0.1906,0.116,0.0248
"14","355",45,48,"AAGA",4,"Media Luna","45AA4ML","23","11.70473538",5.3055449767887,3.73353165033279,246241.149964383,7.433870894,2.217963427,0.839993593,14.102,0.3053,0.145,0.075,0.0168
"15","361",45,40,"AAGA",5,"Media Luna","45AA5ML","40","18.91086351",3.64869642063214,13.3256738840478,1388972.35729666,7.222039328,1.545143615,0.825482495,11.478,0.287,0.1853,0.0676,0.0272
"16","160",55,54,"AAGA",1,"Media Luna","55AA1ML","29.5","6.816155989",4.00335615030479,2.59677155695446,1215433.35359692,5.621938288,1.026698554,0.96086452,15.082,0.3137,0.1376,0.0804,0.0152
"17","163",55,57,"AAGA",2,"Media Luna","55AA2ML","10.5","5.459610028",4.13491071417601,NA,97763.3928481384,4.180314598,0.826934062,0.636478916,12.346,0.418,0.300166666666667,0.131,0.0693333333333333
"18","171",55,50,"AAGA",3,"Media Luna","55AA3ML","23","17.4735376",3.06034194243529,3.02743503982845,648265.981354571,2.462675808,0.574521613,0.667727672,11.394,0.3283,0.1669,0.0886,0.0214
"19","173",55,56,"AAGA",4,"Media Luna","55AA4ML","24","11.61559889",4.23568345170363,4.95884891906766,856606.714249238,6.306881005,1.746857841,1.060403029,11.184,0.3344,0.1677,0.0958,0.0206
"20","175",55,64,"AAGA",5,"Media Luna","55AA5ML","19.5","15.26462396",2.84235629476981,4.47112226143565,386432.709738367,4.221080072,1.264082073,0.704527813,6.164,0.5092,0.2517,0.1854,0.0424
"21","134",15,13,"CNAT",1,"Media Luna","15CN1ML","26","27.95543175",3.44119171044461,11.4396373076942,297616.580362777,2.494910493,0.833047409,0.855483974,NA,NA,NA,NA,NA
"22","154",15,24,"CNAT",2,"Media Luna","15CN2ML","17","11.28690808",3.04999382966535,7.53084896213667,NA,2.930316088,0.7229615,0.994730249,NA,NA,NA,NA,NA
"23","157",15,24,"CNAT",3,"Media Luna","15CN3ML","20","16.4902507",1.63733108072153,5.82162162034322,71633.234781567,2.276173198,0.71736326,0.375221406,NA,NA,NA,NA,NA
"24","306",15,23,"CNAT",4,"Media Luna","15CN4ML","30","13.33426184",6.58079172682573,16.7613327743083,944934.196672412,4.248585387,1.120759453,1.342714577,NA,NA,NA,NA,NA
"25","309",15,24,"CNAT",5,"Media Luna","15CN5ML","33","23.41225627",2.32570493727984,6.06092801836566,632717.033457451,5.617305675,1.374139238,0.775836429,NA,NA,NA,NA,NA
"26","158",30,28,"CNAT",1,"Media Luna","30CN1ML","15","14.08077994",2.95615727093026,9.16142433513523,NA,5.222775323,1.444202671,0.798339195,NA,NA,NA,NA,NA
"27","159",30,29,"CNAT",2,"Media Luna","30CN2ML","15","203.1727019",0.295315263511786,0.575864763847982,46696.7260428011,0.376723838,0.125176757,0.05676177,NA,NA,NA,NA,NA
"28","327",30,32,"CNAT",3,"Media Luna","30CN3ML","40","26.06406685",3.83669979729199,7.82686758647567,187998.290067308,5.723882905,1.517568238,1.028456207,NA,NA,NA,NA,NA
"29","212",30,34,"CNAT",4,"Media Luna","30CN4ML","15","17.24233983",NA,NA,114724.858662062,1.704459794,0.608705089,1.202720454,NA,NA,NA,NA,NA
"30","218",30,31,"CNAT",5,"Media Luna","30CN5ML","37","27.28690808",2.64412515292938,5.55944262923614,NA,3.623072942,1.279858271,0.677622416,NA,NA,NA,NA,NA
"31","335",45,48,"CNAT",1,"Media Luna","45CN1ML","24.5","30.48189415",2.67248812029616,12.2974641324906,230410.003380646,1.665777251,0.56950119,0.360922275,NA,NA,NA,NA,NA
"32","344",45,47,"CNAT",2,"Media Luna","45CN2ML","27","29.13091922",2.13175559380786,2.96592082616746,39101.4952668562,2.071958305,0.567209187,0.438689026,NA,NA,NA,NA,NA
"33","352",45,47,"CNAT",3,"Media Luna","45CN3ML","13","16.41504178",1.52451637561412,7.20680468472131,64841.4432485228,6.082694946,1.439638431,0.566172017,NA,NA,NA,NA,NA
"34","362",45,40,"CNAT",4,"Media Luna","45CN4ML","32","28.53760446",2.52298682255967,7.62502684151366,211650.561225839,5.24651372,1.826025729,0.679492062,NA,NA,NA,NA,NA
"35","367",45,45,"CNAT",5,"Media Luna","45CN5ML","17","18.08913649",1.59764397907973,7.04842931946941,238080.279204085,5.956627618,1.329921139,0.605975343,NA,NA,NA,NA,NA
