"HERS","Species"
0.101932662425834,"AAGA4"
0.246144607138807,"AAGA9"
0.999999999999962,"AAGA13"
0.603574857481286,"AAGA16"
0.460309117728078,"MCAV4"
1,"MCAV9"
0.0927442318491465,"MCAV13"
0.16432652188882,"MCAV16"
0.195866054279918,"OFAV4"
0.00238609313964844,"OFAV9"
0.459278178171841,"OFAV13"
0.224758078201874,"OFAV16"
0.505212169108732,"OFRA4"
0.215495956360855,"OFRA9"
0.00295614956182573,"OFRA13"
0.227887977006522,"OFRA16"
NA,"PAST4"
0.374643700184074,"PAST9"
0.626437424315341,"PAST13"
0.000418927010067366,"PAST16"
1.50470589009387e-16,"PPOR9"
4.08835026063775e-11,"PPOR13"
0.318036362784822,"PPOR16"
0.0930857182396484,"AAGA4"
9.08156441786125e-19,"AAGA9"
0.773848666157668,"AAGA13"
0.217350424293567,"AAGA16"
0.105491886840139,"MCAV4"
NA,"MCAV9"
0.0920491824445739,"MCAV13"
0.296796246514469,"MCAV16"
0.178939052303541,"OFAV4"
0.4745457379928,"OFAV13"
Inf,"OFAV16"
0.109064391227898,"OFRA9"
0,"OFRA13"
0.0181168171949523,"OFRA16"
0.421446271217261,"PAST4"
0.258861762518521,"PAST9"
0.35436927404196,"PAST13"
0.277751667690061,"PAST16"
0.531804585905435,"PPOR4"
0.0164527836905896,"PPOR9"
0.14073284420472,"PPOR13"
0.000164341463858555,"AAGA4"
0.211223405716132,"AAGA9"
0.93326120106283,"AAGA13"
0.118099871742586,"MCAV4"
0,"MCAV13"
1.50931684331946e-17,"MCAV16"
0.284933923666381,"OFAV4"
NA,"OFAV9"
0.284518329407571,"OFAV13"
0.136464295198036,"OFAV16"
0.164530690799497,"OFRA9"
8.85313855210449e-19,"OFRA13"
0.23363632788885,"OFRA16"
0.569925573947117,"PAST4"
0.00122964382171631,"PAST9"
0.259625716883547,"PAST13"
0.283507720877242,"PAST16"
0.0622720358679965,"PPOR4"
0.103333472934416,"PPOR9"
0.552331251300912,"PPOR13"
