"Df","SumOfSqs","R2","F","Pr(>F)","species"
1,71.775772700747,0.42894738883002,24.7880204984776,0.001,"MCAV"
33,95.5542415849673,0.571052611169981,NA,NA,"MCAV"
34,167.330014285714,1,NA,NA,"MCAV"
1,47.7822899122807,0.175569790285165,7.87948108160432,0.007,"AAGA"
37,224.373243421053,0.824430209714834,NA,NA,"AAGA"
38,272.155533333333,1,NA,NA,"AAGA"
1,90.3102517139001,0.268448789146746,13.5774571227141,0.002,"OFAV"
37,246.104943157895,0.731551210853253,NA,NA,"OFAV"
38,336.415194871795,1,NA,NA,"OFAV"
1,163.853543867509,0.471133564209429,33.8517898440578,0.001,"OFRA"
38,183.93221438654,0.528866435790571,NA,NA,"OFRA"
39,347.785758254049,1,NA,NA,"OFRA"
1,13.4489701326123,0.103359643860092,4.0346026256025,0.043,"PPOR"
35,116.669223297086,0.896640356139907,NA,NA,"PPOR"
36,130.118193429699,1,NA,NA,"PPOR"
1,0.556174000316106,0.00295900242755774,0.103872443777816,0.838,"PAST"
35,187.403793567251,0.997040997572442,NA,NA,"PAST"
36,187.959967567568,1,NA,NA,"PAST"
