"species","variable","estimate","std.error","statistic","p.value","Variable"
"AAGA","Host_AFDW_mg.cm2",-0.00395869760481879,0.00174607502834132,-2.26719788128425,0.0289987837022638,"Host_AFDW_mg.cm2"
"AAGA","Sym_AFDW_mg.cm2",0.00105000335776451,0.00363317460520441,0.289004375473837,0.774108741551624,"Sym_AFDW_mg.cm2"
"AAGA","sym.cm2",-272.682945060676,740.660313926752,-0.368161949456959,0.714693705836352,"sym.cm2"
"AAGA","chla.ug.cm2",-0.00373811240556001,0.00330919228825185,-1.12961474581906,0.265718976472553,"chla.ug.cm2"
"AAGA","prot_mg.cm2",-0.000252067675176394,0.000474793850982885,-0.530899198998853,0.598499216812599,"prot_mg.cm2"
"AAGA","D",0.0170458036638834,0.00442855897865541,3.84906326099305,0.000417730220558553,"D"
"AAGA","cor_di",-0.000266867539617141,8.75283203092406e-05,-3.04892792040666,0.00411271201657374,"cor_di"
"AAGA","cal_di",-7.70306122736493e-05,4.79619243444047e-05,-1.60607843256055,0.116324496212345,"cal_di"
"AAGA","cor_a",-0.000149830723018062,5.34873474382039e-05,-2.80123674465569,0.00788257829802737,"cor_a"
"AAGA","cal_a",-1.38798876772816e-05,1.44868564900644e-05,-0.958102103572356,0.343913424583823,"cal_a"
"AAGA","delt_n_S",0.00408736445063071,0.00171652613792879,2.38118392741904,0.0285054229606453,"delt_n_S"
"AAGA","delt_n_H",-0.00410625249483781,0.00278350878133379,-1.47520730754447,0.158437200431165,"delt_n_H"
"AAGA","delt_c_S",0.00427452901741603,0.00944780674738356,0.452436118954254,0.656360172546338,"delt_c_S"
"AAGA","delt_c_H",0.00326440896921227,0.00448678599490166,0.727560657655975,0.476784225465535,"delt_c_H"
"AAGA","cn_ratio_S",-0.00109290079838968,0.00929960832666428,-0.117521164332918,0.907748505656842,"cn_ratio_S"
"AAGA","cn_ratio_H",-0.000458002723619948,0.00308417305693519,-0.148500980705368,0.88380289856345,"cn_ratio_H"
"MCAV","Host_AFDW_mg.cm2",0.00239097438966122,0.00180392945105492,1.32542566354965,0.192943943364156,"Host_AFDW_mg.cm2"
"MCAV","Sym_AFDW_mg.cm2",0.00894235969443629,0.00463361071236784,1.92989015468384,0.0611103390041225,"Sym_AFDW_mg.cm2"
"MCAV","sym.cm2",1256.56190650328,384.931155998344,3.26438088193798,0.00236593681197006,"sym.cm2"
"MCAV","chla.ug.cm2",0.00259602840403522,0.00295730845775348,0.877834842432125,0.385550023294573,"chla.ug.cm2"
"MCAV","prot_mg.cm2",0.00028519133605087,0.00045627240736444,0.625046203644477,0.535676354419824,"prot_mg.cm2"
"MCAV","D",0.00285662811163593,0.000914962577476177,3.12212562782144,0.00342530048758458,"D"
"MCAV","cor_di",-0.000550670152139231,0.00016440045589021,-3.3495658461372,0.00190923959402887,"cor_di"
"MCAV","cal_di",-0.000523106602464896,0.000182976851256322,-2.85886765934181,0.00753684550237667,"cal_di"
"MCAV","cor_a",-0.000331235898281987,0.000107120505784743,-3.09218011860027,0.0042686341895923,"cor_a"
"MCAV","cal_a",-0.000613650983483838,0.000279116521916301,-2.19854768635965,0.0357617237397024,"cal_a"
"MCAV","delt_n_S",-0.00298371660319253,0.00195857047624558,-1.52341549072672,0.147174287268722,"delt_n_S"
"MCAV","delt_n_H",-0.00796632671849702,0.00405216421341528,-1.96594370290407,0.0680952998040764,"delt_n_H"
"MCAV","delt_c_S",-0.000994297296130335,0.00514967481168188,-0.193079627838791,0.849326262515645,"delt_c_S"
"MCAV","delt_c_H",0.0097421001416224,0.00205088631371819,4.75019023553786,0.000257923169264099,"delt_c_H"
"MCAV","cn_ratio_S",-0.00449791687117278,0.0051974954325893,-0.865400831902607,0.399609135378403,"cn_ratio_S"
"MCAV","cn_ratio_H",0.00165457542326437,0.00268389005702775,0.6164840541556,0.546818141899363,"cn_ratio_H"
"OFAV","Host_AFDW_mg.cm2",0.000301425442205429,0.0023831379460252,0.126482582642005,0.900053733933689,"Host_AFDW_mg.cm2"
"OFAV","Sym_AFDW_mg.cm2",-3.38394872548436e-06,0.00395334343080241,-0.000855971353037122,0.999321759544535,"Sym_AFDW_mg.cm2"
"OFAV","sym.cm2",-811.670537649776,1055.04944772342,-0.769319901926111,0.446459242751217,"sym.cm2"
"OFAV","chla.ug.cm2",-0.00406800624626805,0.00411999015626976,-0.987382515969706,0.329541655387058,"chla.ug.cm2"
"OFAV","prot_mg.cm2",0.000725730143445258,0.000593311501999504,1.22318569756274,0.22859930582024,"prot_mg.cm2"
"OFAV","D",0.0105489763635262,0.00290792803942464,3.62766073317737,0.00081865989108841,"D"
"OFAV","cor_di",-0.000181539375391489,6.56850954165172e-05,-2.76378338556603,0.00867664243990528,"cor_di"
"OFAV","cal_di",-8.00140654574214e-05,4.64894893184438e-05,-1.72112162620976,0.0931540244877338,"cal_di"
"OFAV","cor_a",-0.000130997207393652,4.03855231043562e-05,-3.24366746606588,0.0024220055198572,"cor_a"
"OFAV","cal_a",-3.5919399161644e-05,1.93311557234694e-05,-1.85810924475847,0.0707139984346515,"cal_a"
"OFAV","delt_n_S",0.00358275833154124,0.00208759650120225,1.71621207904781,0.103283224796977,"delt_n_S"
"OFAV","delt_n_H",0.0021531275390175,0.00172551459179822,1.24781763611379,0.229012842380701,"delt_n_H"
"OFAV","delt_c_S",0.0154370295962904,0.0086514878701204,1.78432078135429,0.0912375457825386,"delt_c_S"
"OFAV","delt_c_H",0.015678097865129,0.00500220015515406,3.13424040998738,0.00604405075039954,"delt_c_H"
"OFAV","cn_ratio_S",-0.00844986530826928,0.00976004254550407,-0.865761114142036,0.398014109079222,"cn_ratio_S"
"OFAV","cn_ratio_H",-0.0063414064369132,0.00324089586248562,-1.95668318452221,0.0680697866229796,"cn_ratio_H"
"OFRA","Host_AFDW_mg.cm2",0.000981447996397928,0.0024914965875077,0.393919061065097,0.69573297361021,"Host_AFDW_mg.cm2"
"OFRA","Sym_AFDW_mg.cm2",0.0045828025444805,0.00464280434457267,0.987076388398253,0.329538634241161,"Sym_AFDW_mg.cm2"
"OFRA","sym.cm2",1531.7965968913,1140.83988144975,1.34269201296218,0.186942062629621,"sym.cm2"
"OFRA","chla.ug.cm2",0.00374398846045636,0.00382582624827884,0.978609120615634,0.333804913104677,"chla.ug.cm2"
"OFRA","prot_mg.cm2",0.00127196192428384,0.000595111357459084,2.13735111646108,0.0392442208679111,"prot_mg.cm2"
"OFRA","D",0.0114511947006332,0.00272566947768283,4.20124112420565,0.000139687248640298,"D"
"OFRA","cor_di",-0.000267381406332867,8.83086587596648e-05,-3.02780508829327,0.00424690280536542,"cor_di"
"OFRA","cal_di",-9.27830301862557e-05,6.29741820732342e-05,-1.47335030216599,0.148293183281154,"cal_di"
"OFRA","cor_a",-0.000220200480375401,6.13091381987868e-05,-3.59164207563039,0.000871230576239054,"cor_a"
"OFRA","cal_a",-4.55427887754753e-05,2.44786854042626e-05,-1.86050794899078,0.0699964566508151,"cal_a"
"OFRA","delt_n_S",0.000542338879024,0.00238159714329003,0.227720662393301,0.822430039117969,"delt_n_S"
"OFRA","delt_n_H",0.000342908823200504,0.00170297088121259,0.201359181759079,0.842675703785762,"delt_n_H"
"OFRA","delt_c_S",-0.00424089699400815,0.0119949073114748,-0.353558129619823,0.727777262018967,"delt_c_S"
"OFRA","delt_c_H",0.00511733121958345,0.0034118235217409,1.49988156977483,0.150980893335355,"delt_c_H"
"OFRA","cn_ratio_S",-0.00568499699748564,0.0116761591327981,-0.4868893043361,0.632212727193819,"cn_ratio_S"
"OFRA","cn_ratio_H",-0.00123196529539267,0.00414263654415655,-0.297386768610061,0.769576080003133,"cn_ratio_H"
"PAST","Host_AFDW_mg.cm2",0.00773864658235377,0.00257550064500911,3.00471545109103,0.00504556821340732,"Host_AFDW_mg.cm2"
"PAST","Sym_AFDW_mg.cm2",-0.0126162686752263,0.0060885631866716,-2.07212576899004,0.0461422101192062,"Sym_AFDW_mg.cm2"
"PAST","sym.cm2",-83.8657344690248,976.64650785485,-0.0858711251148905,0.93217997674526,"sym.cm2"
"PAST","chla.ug.cm2",-0.00995514697187757,0.00548565643674756,-1.81475947075169,0.078660131914509,"chla.ug.cm2"
"PAST","prot_mg.cm2",-0.00034423190531961,0.000869853973311563,-0.395735279576994,0.694635925679703,"prot_mg.cm2"
"PAST","D",0.0484265077295905,0.00939033604084838,5.15705801357193,8.67420693711301e-06,"D"
"PAST","cor_di",-3.33026619932458e-05,2.52876810693313e-05,-1.31695199342082,0.195741713815381,"cor_di"
"PAST","cal_di",-9.14646157437705e-06,1.7350602461485e-05,-0.527155272831617,0.601150070360247,"cal_di"
"PAST","cor_a",-7.20514962795424e-06,5.26788886468353e-06,-1.36774898123958,0.179425655999441,"cor_a"
"PAST","cal_a",-1.75344177733393e-06,2.66988528860222e-06,-0.656747982701501,0.515300893501872,"cal_a"
"PAST","delt_n_S",0.00233638198284427,0.0010048935836686,2.32500437938389,0.0335521418134164,"delt_n_S"
"PAST","delt_n_H",-0.0014591022180362,0.00176032866084514,-0.828880566732172,0.418658377364791,"delt_n_H"
"PAST","delt_c_S",-0.00156742735388302,0.00440477176809237,-0.355847575403856,0.726603098064931,"delt_c_S"
"PAST","delt_c_H",0.00138905745167093,0.0039796756211597,0.349037857328218,0.731346698144008,"delt_c_H"
"PAST","cn_ratio_S",-0.00680469836473339,0.0043480806515821,-1.5649889939961,0.137146969646468,"cn_ratio_S"
"PAST","cn_ratio_H",0.000139972527605713,0.00265591452865011,0.0527021958334087,0.958583543508036,"cn_ratio_H"
"PPOR","Host_AFDW_mg.cm2",0.00583476184190822,0.0025542074423506,2.2843727354183,0.0280240239874914,"Host_AFDW_mg.cm2"
"PPOR","Sym_AFDW_mg.cm2",0.0109284035391565,0.00668788239864205,1.63406036286993,0.110294152982766,"Sym_AFDW_mg.cm2"
"PPOR","sym.cm2",-260.52918072765,935.710870093671,-0.278429148420141,0.782233120579951,"sym.cm2"
