"species","variable","estimate","std.error","statistic","p.value","Variable"
"AAGA","Host_AFDW_mg.cm2",-0.0150595334481559,0.00747859689698728,-2.0136843388661,0.0509792504241252,"Host_AFDW_mg.cm2"
"AAGA","Sym_AFDW_mg.cm2",0.00436412524378593,0.01538390315045,0.283681273933285,0.778155236127043,"Sym_AFDW_mg.cm2"
"AAGA","sym.cm2",-575.589878798281,3132.31405939233,-0.183758674221175,0.855131154943898,"sym.cm2"
"AAGA","chla.ug.cm2",-0.014731143093218,0.0140424617270768,-1.04904278035619,0.300784843176964,"chla.ug.cm2"
"AAGA","prot_mg.cm2",-0.000748445562828527,0.00201137233251633,-0.372106919603584,0.711827602245227,"prot_mg.cm2"
"AAGA","D",0.0713205100378907,0.0187696294787204,3.79978252201242,0.000483459327539725,"D"
"AAGA","cor_di",-0.00114493060654409,0.000369308703483856,-3.10019936097753,0.00358280023690665,"cor_di"
"AAGA","cal_di",-0.000345382725938608,0.000202205117381993,-1.70808103380556,0.0955706677075458,"cal_di"
"AAGA","cor_a",-0.000636810494966672,0.000226229901595805,-2.81488207559951,0.00761047422210706,"cor_a"
"AAGA","cal_a",-6.58007675688548e-05,6.11398909596955e-05,-1.07623298857749,0.288435894114918,"cal_a"
"AAGA","delt_n_S",0.0154074743719793,0.00686051852195097,2.24581776474787,0.0375088627328359,"delt_n_S"
"AAGA","delt_n_H",-0.0166264067985236,0.0110028405041783,-1.51110131899211,0.149127532429421,"delt_n_H"
"AAGA","delt_c_S",0.0201422336589758,0.0371667935669353,0.541941656137238,0.594504645833475,"delt_c_S"
"AAGA","delt_c_H",0.0144487125126523,0.0177166935836993,0.815542270593101,0.426041396529592,"delt_c_H"
"AAGA","cn_ratio_S",-0.000353448351731808,0.0366870865234425,-0.0096341352019316,0.992419166985618,"cn_ratio_S"
"AAGA","cn_ratio_H",-0.000809071710645964,0.0122839095485404,-0.0658643494116331,0.948301788929406,"cn_ratio_H"
